importance,name
17,item_collected_level_shop_review_num_level_std
16,item_pv_level_shop_score_service_min
16,item_collected_level_shop_star_level_skew
16,item_sales_level_context_page_id_mean
16,user_star_level_shop_review_positive_rate_min
16,item_collected_level_context_page_id_std
16,shop_review_num_level_item_city_id_cnt
16,item_pv_level_shop_score_description_min
16,shop_id_item_id_1
16,item_category_1_shop_review_num_level_std
15,shop_star_level_item_pv_level_min
15,item_price_level_user_age_level_std
15,item_pv_level_shop_score_delivery_median
15,user_age_level_item_price_level_max
15,user_age_level_shop_score_service_median
15,item_category_1_user_age_level_skew
15,item_collected_level_shop_id_cnt
15,item_sales_level_shop_id_cnt
15,item_price_level_shop_score_service_min
15,item_id_user_star_level_max
15,item_category_1_shop_score_service_median
14,item_category_1_shop_score_delivery_min
14,item_category_1_shop_score_description_skew
14,item_pv_level_shop_star_level_skew
14,item_sales_level_shop_review_num_level_min
14,item_category_1_item_price_level_max
14,item_category_1_item_brand_id_cnt
14,item_pv_level_shop_score_delivery_min
14,shop_id_item_pv_level_max
14,item_price_level_user_star_level_mean
14,shop_id_user_occupation_id_cnt
14,item_brand_id_item_category_1_cnt
14,item_collected_level_shop_review_positive_rate_min
13,item_collected_level_shop_review_positive_rate_std
13,item_city_id_item_category_1_cnt
13,item_sales_level_shop_review_positive_rate_mean
13,user_gender_id_item_price_level_mean
13,shop_id_item_pv_level_median
13,item_sales_level_shop_score_service_min
13,item_collected_level_context_page_id_mean
13,item_category_1_user_star_level_std
13,user_age_level_item_pv_level_mean
13,item_pv_level_user_star_level_mean
13,item_category_1_shop_review_positive_rate_std
13,user_age_level_item_price_level_min
13,shop_star_level_context_page_id_std
13,item_pv_level_shop_score_delivery_std
13,item_brand_id_context_page_id_median
13,user_age_level_shop_score_service_skew
12,item_category_1_shop_review_positive_rate_skew
12,item_category_1_shop_star_level_skew
12,user_age_level_item_id_cnt
12,item_brand_id_user_star_level_max
12,item_id_user_age_level_max
12,item_sales_level_context_page_id_skew
12,item_price_level_shop_review_num_level_std
12,item_category_1_user_age_level_std
12,item_price_level
12,user_star_level_shop_score_description_median
12,shop_star_level_user_star_level_mean
12,user_age_level_context_page_id_std
12,shop_star_level_item_id_cnt
12,shop_review_num_level_item_property_cnt
12,user_star_level_item_price_level_max
11,shop_star_level_shop_id_cnt
11,item_price_level_shop_review_num_level_skew
11,item_category_1_item_collected_level_mean
11,item_id_shop_star_level_std
11,item_category_1_item_collected_level_median
11,item_pv_level_shop_review_num_level_std
11,user_age_level_shop_star_level_skew
11,item_category_1_user_age_level_mean
11,item_price_level_user_star_level_skew
11,user_occupation_id_item_pv_level_skew
11,item_pv_level_user_star_level_skew
11,item_category_1_shop_review_num_level_mean
11,item_category_1_instance_id_cnt
11,item_city_id_shop_score_delivery_mean
10,item_brand_id_user_occupation_id_cnt
10,item_sales_level_item_property_cnt
10,item_city_id_shop_review_num_level_min
10,item_category_1_user_star_level_mean
10,item_category_1_context_page_id_skew
10,shop_star_level_item_brand_id_cnt
10,shop_review_num_level_shop_id_cnt
10,shop_star_level_item_city_id_cnt
10,item_collected_level_shop_score_service_min
10,user_age_level_shop_review_num_level_mean
10,item_collected_level_shop_score_description_min
10,item_category_1_shop_review_num_level_max
10,item_id_user_age_level_median
10,item_category_1_item_price_level_mean
9,item_price_level_shop_id_cnt
9,item_city_id_shop_star_level_max
9,shop_star_level_user_star_level_std
9,user_age_level_shop_review_num_level_min
9,item_pv_level_instance_id_cnt
9,item_category_1_shop_score_description_mean
9,item_category_1_shop_star_level_std
9,item_id_user_star_level_min
9,shop_star_level_item_price_level_max
9,item_city_id_item_property_cnt
9,item_price_level_shop_review_positive_rate_std
9,item_sales_level_shop_score_service_std
9,item_category_1_item_sales_level_mean
9,user_occupation_id_instance_id_cnt
9,item_price_level_shop_star_level_std
9,item_category_1_item_sales_level_max
9,shop_review_num_level_item_pv_level_min
9,shop_review_num_level_item_price_level_max
9,user_age_level_shop_score_description_std
9,shop_id_item_brand_id_cnt
9,user_star_level_context_page_id_std
9,item_collected_level_instance_id_cnt
9,user_age_level_shop_score_service_std
9,item_category_1_item_pv_level_min
8,item_category_1_shop_star_level_max
8,item_category_1_shop_score_delivery_median
8,item_brand_id_shop_star_level_median
8,item_category_1_shop_score_service_mean
8,shop_review_num_level_item_sales_level_mean
8,item_category_1_shop_score_delivery_mean
